expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,1,w13_gemm,0.125952,0.127305,0.123904,0.131136,0.3996,399.7723,0.0057,0.6663,75,True
routed,1,silu_and_mul,0.02048,0.02134,0.018432,0.024576,0.0005,0.6,0.0,0.001,75,True
routed,1,w2_gemm,0.062464,0.063386,0.06144,0.063488,0.4029,403.1475,0.0058,0.6719,75,True
routed,1,full_chain,0.190464,0.191836,0.187392,0.196608,0.3964,396.6452,0.0057,0.6611,75,True
routed,2,w13_gemm,0.116736,0.118356,0.114688,0.121856,0.8623,431.5088,0.0123,0.7192,75,True
routed,2,silu_and_mul,0.02048,0.020851,0.019456,0.022528,0.001,1.2,0.0,0.002,75,True
routed,2,w2_gemm,0.057344,0.057795,0.05632,0.058368,0.8777,439.4286,0.0125,0.7324,75,True
routed,2,full_chain,0.175104,0.176824,0.173056,0.181248,0.8624,431.7193,0.0123,0.7195,75,True
routed,4,w13_gemm,0.117248,0.1186,0.114688,0.12288,1.7171,429.9738,0.0245,0.7166,75,True
routed,4,silu_and_mul,0.02048,0.021546,0.019456,0.024576,0.002,2.4,0.0,0.004,75,True
routed,4,w2_gemm,0.057344,0.058001,0.05632,0.058432,1.7554,440.0,0.0251,0.7333,75,True
routed,4,full_chain,0.176128,0.177009,0.173056,0.181248,1.7148,429.7674,0.0245,0.7163,75,True
routed,8,w13_gemm,0.11776,0.118723,0.115712,0.121856,3.4193,428.8,0.0488,0.7147,75,True
routed,8,silu_and_mul,0.019456,0.019453,0.018432,0.021504,0.0042,5.0526,0.0001,0.0084,75,True
routed,8,w2_gemm,0.057344,0.05796,0.05632,0.058368,3.5109,441.1429,0.0502,0.7352,75,True
routed,8,full_chain,0.17664,0.177829,0.173056,0.183296,3.4197,429.6348,0.0489,0.7161,75,True
routed,16,w13_gemm,0.118784,0.119398,0.114688,0.12288,6.7796,426.4827,0.0969,0.7108,75,True
routed,16,silu_and_mul,0.021456,0.021281,0.019488,0.023552,0.0076,9.1633,0.0001,0.0153,75,True
