expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,4096,silu_and_mul,0.2004,0.200742,0.198624,0.203136,0.2093,251.1559,0.0032,0.7849,56,True
routed,4096,w2_gemm,4.263792,4.310777,4.168288,4.767584,24.1755,21.6415,0.3719,0.0676,56,True
routed,4096,full_chain,12.818128,12.876999,12.797568,13.079008,24.1283,21.5963,0.3712,0.0675,56,True
routed,8192,w13_gemm,17.21416,17.337213,16.838593,18.495487,23.9522,12.67,0.3685,0.0396,33,True
routed,8192,silu_and_mul,0.395264,0.395677,0.391968,0.397568,0.2122,254.6736,0.0033,0.7959,33,True
routed,8192,w2_gemm,8.49736,8.49973,8.488064,8.505408,24.2615,18.7568,0.3733,0.0586,33,True
routed,8192,full_chain,25.935088,26.04803,25.375008,26.499584,23.8503,18.4364,0.3669,0.0576,33,True
routed,16384,w13_gemm,42.410208,42.660799,40.776958,45.094143,19.4442,9.0987,0.2991,0.0284,18,True
routed,16384,silu_and_mul,0.769152,0.769763,0.76656,0.777024,0.2181,261.7514,0.0034,0.818,18,True
routed,16384,w2_gemm,17.078512,16.986495,16.779167,17.16272,24.1424,17.1913,0.3714,0.0537,18,True
routed,16384,full_chain,61.011759,60.924259,59.05632,61.88467,20.2767,14.4366,0.3119,0.0451,18,True
routed,32768,w13_gemm,88.2356,88.617773,85.227135,91.52877,18.6916,8.1761,0.2876,0.0256,9,True
routed,32768,silu_and_mul,1.552416,1.550267,1.530016,1.564352,0.2161,259.372,0.0033,0.8105,9,True
routed,32768,w2_gemm,34.5856,34.598463,34.2472,35.045376,23.8433,16.2506,0.3668,0.0508,9,True
routed,32768,full_chain,125.475857,126.355523,121.507233,132.373886,19.7188,13.4377,0.3034,0.042,9,True
routed,65536,w13_gemm,182.603394,182.823383,173.905945,190.373627,18.0639,7.6259,0.2779,0.0238,5,True
routed,65536,silu_and_mul,3.127328,3.127128,3.073344,3.1744,0.2146,257.5062,0.0033,0.8047,5,True
routed,65536,w2_gemm,73.160721,73.173674,70.996994,74.510338,22.5431,15.0205,0.3468,0.0469,5,True
