expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,1,w13_gemm,1.545216,1.545884,1.544192,1.54624,0.2606,260.6309,0.0022,0.8688,8,True
routed,1,silu_and_mul,0.014832,0.016461,0.013312,0.025376,0.0055,6.6278,0.0,0.0221,8,True
routed,1,w2_gemm,0.775216,0.770705,0.729088,0.77824,0.2597,259.762,0.0021,0.8659,8,True
routed,1,full_chain,2.323456,2.319259,2.2784,2.326528,0.26,260.0441,0.0021,0.8668,8,True
routed,2,w13_gemm,1.721376,1.730369,1.714176,1.72544,0.4678,234.004,0.0039,0.78,8,True
routed,2,silu_and_mul,0.014336,0.01477,0.013312,0.017408,0.0114,13.7143,0.0001,0.0457,8,True
routed,2,w2_gemm,0.802816,0.802929,0.800768,0.80384,0.5016,250.8878,0.0041,0.8363,8,True
routed,2,full_chain,2.525184,2.525444,2.51904,2.52928,0.4784,239.3577,0.004,0.7979,8,True
routed,4,w13_gemm,1.717248,1.734488,1.709056,1.9456,0.9379,234.6571,0.0078,0.7822,8,True
routed,4,silu_and_mul,0.014336,0.015677,0.013312,0.026528,0.0229,27.4286,0.0002,0.0914,8,True
routed,4,w2_gemm,0.80384,0.804486,0.801792,0.806912,1.0018,250.6803,0.0083,0.8356,8,True
routed,4,full_chain,2.52416,2.529711,2.515968,2.530304,0.9572,239.63,0.0079,0.7988,8,True
routed,8,w13_gemm,1.71776,1.730834,1.703936,1.808384,1.8752,234.7684,0.0155,0.7826,8,True
routed,8,silu_and_mul,0.016384,0.017103,0.014336,0.023552,0.04,48.0,0.0003,0.16,8,True
routed,8,w2_gemm,0.806912,0.807574,0.80384,0.809984,1.996,249.9492,0.0165,0.8332,8,True
routed,8,full_chain,2.52928,2.529064,2.514944,2.540544,1.9106,239.4947,0.0158,0.7983,8,True
routed,16,w13_gemm,1.733632,1.735049,1.716224,1.741824,3.7162,232.9781,0.0307,0.7766,8,True
routed,16,silu_and_mul,0.01632,0.017235,0.014336,0.022528,0.0803,96.3765,0.0007,0.3213,8,True
routed,16,w2_gemm,0.813056,0.814126,0.807936,0.8192,3.9619,248.5038,0.0327,0.8283,8,True
routed,16,full_chain,2.550784,2.552796,2.532352,2.563072,3.789,238.1694,0.0313,0.7939,8,True
routed,32,w13_gemm,1.882112,1.88458,1.870848,1.891328,6.846,215.2601,0.0566,0.7175,8,True
routed,32,silu_and_mul,0.016384,0.017348,0.014336,0.026624,0.16,192.0,0.0013,0.64,8,True
routed,32,w2_gemm,0.873472,0.874969,0.871424,0.87552,7.3757,232.1407,0.061,0.7738,8,True
routed,32,full_chain,2.76736,2.768781,2.756608,2.777088,6.985,220.8089,0.0577,0.736,8,True
routed,64,w13_gemm,1.845248,1.847872,1.836032,1.867776,13.9655,220.9101,0.1154,0.7364,8,True
routed,64,silu_and_mul,0.019456,0.020707,0.017408,0.026624,0.2695,323.3684,0.0022,1.0779,8,True
routed,64,w2_gemm,0.884736,0.885781,0.882688,0.886784,14.5636,230.8148,0.1204,0.7694,8,True
routed,64,full_chain,2.756608,2.761076,2.748416,2.77504,14.0245,224.2377,0.1159,0.7475,8,True
routed,128,w13_gemm,1.890304,1.889895,1.871872,1.901568,27.2652,218.2795,0.2253,0.7276,8,True
routed,128,silu_and_mul,0.052224,0.051548,0.024576,0.053248,0.2008,240.9412,0.0017,0.8031,8,True
routed,128,w2_gemm,0.950784,0.95175,0.946176,0.95744,27.1037,217.8137,0.224,0.726,8,True
routed,128,full_chain,2.883584,2.887188,2.873344,2.905088,26.8138,219.2727,0.2216,0.7309,8,True
routed,256,w13_gemm,2.466304,2.474108,2.404352,2.521088,41.795,171.3398,0.3454,0.5711,8,True
routed,256,silu_and_mul,0.101376,0.099389,0.053248,0.105472,0.2069,248.2424,0.0017,0.8275,8,True
routed,256,w2_gemm,1.129472,1.075999,0.9472,1.185792,45.6316,188.4606,0.3771,0.6282,8,True
routed,256,full_chain,4.131328,4.061082,3.779584,4.247552,37.431,159.9009,0.3093,0.533,8,True
routed,512,w13_gemm,4.249088,4.208374,3.424256,4.513792,48.5183,104.1398,0.401,0.3471,8,True
routed,512,silu_and_mul,0.212992,0.213299,0.207872,0.219136,0.1969,236.3077,0.0016,0.7877,8,True
routed,512,w2_gemm,1.952768,1.953158,1.95072,1.953792,52.7862,114.9114,0.4362,0.383,8,True
routed,512,full_chain,6.219264,6.275584,6.212608,6.521856,49.7293,115.3233,0.411,0.3844,8,True
routed,1024,w13_gemm,7.798784,7.847506,7.43936,8.188928,52.8694,61.8487,0.4369,0.2062,8,True
routed,1024,silu_and_mul,0.427008,0.428298,0.420864,0.438272,0.1965,235.741,0.0016,0.7858,8,True
routed,1024,w2_gemm,3.513344,3.490406,3.15904,3.562496,58.6787,70.4354,0.4849,0.2348,8,True
routed,1024,full_chain,11.718656,11.7939,11.373568,12.271616,52.7841,70.8675,0.4362,0.2362,8,True
routed,2048,w13_gemm,13.99808,14.099108,13.416448,15.328256,58.9105,40.151,0.4869,0.1338,8,True
routed,2048,silu_and_mul,0.857088,0.8576,0.847872,0.867328,0.1957,234.8961,0.0016,0.783,8,True
routed,2048,w2_gemm,6.982656,7.103119,6.977536,7.508992,59.0487,42.0472,0.488,0.1402,8,True
routed,2048,full_chain,22.04672,21.958492,20.670464,23.134209,56.1135,47.942,0.4637,0.1598,8,True
routed,4096,w13_gemm,26.816511,27.201331,25.945087,28.846081,61.5019,26.9021,0.5083,0.0897,8,True
routed,4096,silu_and_mul,1.716736,1.716756,1.701888,1.728512,0.1955,234.5458,0.0016,0.7818,8,True
routed,4096,w2_gemm,14.03136,14.174147,13.71136,15.198208,58.7708,27.501,0.4857,0.0917,8,True
routed,4096,full_chain,42.243073,42.135511,39.981056,43.282433,58.5714,35.7443,0.4841,0.1191,8,True
routed,8192,w13_gemm,51.628031,52.064379,49.711105,55.113728,63.8904,20.1477,0.528,0.0672,8,True
routed,8192,silu_and_mul,3.4304,3.432591,3.411968,3.453952,0.1956,234.7558,0.0016,0.7825,8,True
routed,8192,w2_gemm,28.368383,28.38188,26.917889,30.544895,58.1375,20.1078,0.4805,0.067,8,True
routed,8192,full_chain,83.117054,83.400069,79.908867,86.838272,59.5362,29.0665,0.492,0.0969,8,True
routed,16384,w13_gemm,102.552574,102.303457,98.469887,105.057281,64.3287,16.3596,0.5316,0.0545,7,True
routed,16384,silu_and_mul,6.864896,6.862403,6.836224,6.882304,0.1955,234.6158,0.0016,0.7821,7,True
routed,16384,w2_gemm,56.171009,56.754074,54.412289,59.075584,58.7231,16.7261,0.4853,0.0558,7,True
routed,16384,full_chain,166.127617,166.326968,164.257797,168.696838,59.5744,25.4495,0.4924,0.0848,7,True
routed,32768,w13_gemm,204.912636,204.486963,199.844864,207.90477,64.3891,14.41,0.5321,0.048,4,True
routed,32768,silu_and_mul,13.727232,13.728342,13.686784,13.76256,0.1955,234.6595,0.0016,0.7822,4,True
routed,32768,w2_gemm,115.420162,115.380552,111.471619,119.291901,57.157,14.5358,0.4724,0.0485,4,True
routed,32768,full_chain,335.564804,335.65907,330.62912,339.098633,58.9868,23.3986,0.4875,0.078,4,True
routed,65536,w13_gemm,418.735107,417.722348,408.651764,422.098938,63.019,13.1418,0.5208,0.0438,2,True
routed,65536,silu_and_mul,27.474432,27.476277,27.418625,27.513857,0.1954,234.489,0.0016,0.7816,2,True
routed,65536,w2_gemm,242.74176,242.104258,232.693756,246.137863,54.3546,12.9937,0.4492,0.0433,2,True
routed,65536,full_chain,735.745026,731.019264,699.806702,751.066101,53.8064,20.5227,0.4447,0.0684,2,True
routed,131072,w13_gemm,888.430603,887.602484,882.214905,891.437073,59.4043,11.9348,0.4909,0.0398,1,True
routed,131072,silu_and_mul,54.940689,54.945096,54.874111,55.006207,0.1954,234.5238,0.0016,0.7817,1,True
routed,131072,w2_gemm,504.338943,504.088618,499.276794,506.690552,52.3225,12.1087,0.4324,0.0404,1,True
routed,131072,full_chain,1370.143738,1384.088252,1348.944946,1451.37146,57.7863,21.5999,0.4776,0.072,1,True
