expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,4096,silu_and_mul,0.137248,0.137681,0.135872,0.138688,0.2101,252.1203,0.0032,0.7879,26,True
routed,4096,w2_gemm,1.09224,1.100426,0.99952,1.17072,21.6274,31.2008,0.3327,0.0975,26,True
routed,4096,full_chain,3.3492,3.37863,3.344416,3.422528,21.168,35.8479,0.3257,0.112,26,True
routed,8192,w13_gemm,4.661072,4.684778,3.3296,5.036032,20.272,19.5719,0.3119,0.0612,26,True
routed,8192,silu_and_mul,0.268288,0.268701,0.266784,0.269952,0.215,257.9542,0.0033,0.8061,26,True
routed,8192,w2_gemm,2.322352,2.287964,2.11968,2.324992,20.3434,26.8651,0.313,0.084,26,True
routed,8192,full_chain,7.1332,7.243274,7.088096,8.534016,19.8777,31.2374,0.3058,0.0976,26,True
routed,16384,w13_gemm,7.838864,7.901708,7.827456,8.189952,24.1079,21.8039,0.3709,0.0681,26,True
routed,16384,silu_and_mul,0.534096,0.534349,0.530784,0.536928,0.216,259.152,0.0033,0.8098,26,True
routed,16384,w2_gemm,4.031232,4.042553,3.792896,4.119104,23.4393,29.5228,0.3606,0.0923,26,True
routed,16384,full_chain,12.390336,12.392129,12.382176,12.396576,22.8874,34.5708,0.3521,0.108,26,True
routed,32768,w13_gemm,15.800288,15.962802,15.783616,17.167776,23.9209,20.9048,0.368,0.0653,22,True
routed,32768,silu_and_mul,1.066112,1.065657,1.058816,1.070816,0.2164,259.6576,0.0033,0.8114,22,True
routed,32768,w2_gemm,8.208496,8.210256,8.19648,8.223424,23.0223,28.295,0.3542,0.0884,22,True
routed,32768,full_chain,25.05728,24.988321,24.547392,25.069536,22.6348,33.4987,0.3482,0.1047,22,True
routed,65536,w13_gemm,32.099697,32.306559,31.452385,33.558495,23.549,20.2204,0.3623,0.0632,11,True
routed,65536,silu_and_mul,2.135328,2.135674,2.111456,2.153088,0.2161,259.2801,0.0033,0.8103,11,True
routed,65536,w2_gemm,16.267184,16.402381,16.236799,16.627296,23.2343,28.2011,0.3575,0.0881,11,True
routed,65536,full_chain,50.399025,50.38217,49.740959,50.841599,22.507,32.9663,0.3463,0.103,11,True
routed,131072,w13_gemm,68.296638,68.360519,66.086754,69.56134,22.1362,18.8384,0.3406,0.0589,5,True
routed,131072,silu_and_mul,4.309776,4.297834,4.223104,4.342336,0.2141,256.9266,0.0033,0.8029,5,True
routed,131072,w2_gemm,32.512735,32.593681,32.496128,33.224705,23.2498,28.0425,0.3577,0.0876,5,True
routed,131072,full_chain,104.034897,103.999931,101.351425,106.074112,21.8068,31.7743,0.3355,0.0993,5,True
routed,262144,w13_gemm,131.756721,135.143655,131.723007,154.078369,22.9488,19.4424,0.3531,0.0608,2,True
routed,262144,silu_and_mul,8.687616,8.668942,8.53152,8.702368,0.2124,254.9137,0.0033,0.7966,2,True
routed,262144,w2_gemm,65.009102,65.044912,64.489342,65.0448,23.2556,27.9608,0.3578,0.0874,2,True
routed,262144,full_chain,204.734879,205.149638,204.218369,207.25885,22.162,32.2074,0.341,0.1006,2,True
routed,524288,w13_gemm,295.587204,294.860335,288.305176,298.614777,20.4586,17.2937,0.3147,0.054,1,True
routed,524288,silu_and_mul,17.371952,17.369382,17.319967,17.397888,0.2125,254.9618,0.0033,0.7968,1,True
routed,524288,w2_gemm,130.040176,130.032858,129.722214,130.05542,23.2517,27.9117,0.3577,0.0872,1,True
routed,524288,full_chain,437.943527,437.304002,426.191406,442.382324,20.7211,30.0738,0.3188,0.094,1,True
shared,1,w13_gemm,0.12288,0.123537,0.121056,0.123424,0.1877,187.8583,0.0029,0.5871,26,True
shared,1,silu_and_mul,0.019632,0.020156,0.018432,0.024608,0.0007,0.8606,0.0,0.0027,26,True
shared,1,w2_gemm,0.069536,0.070137,0.067296,0.071136,0.1659,166.0156,0.0026,0.5188,26,True
shared,1,full_chain,0.192512,0.193387,0.190464,0.19488,0.1798,179.9628,0.0028,0.5624,26,True
shared,2,w13_gemm,0.127568,0.129121,0.126976,0.128736,0.3617,181.0751,0.0056,0.5659,26,True
shared,2,silu_and_mul,0.020944,0.023629,0.018432,0.030848,0.0013,1.6134,0.0,0.005,26,True
shared,2,w2_gemm,0.07824,0.078851,0.076032,0.079872,0.2948,147.6712,0.0045,0.4615,26,True
shared,2,full_chain,0.207392,0.207932,0.204992,0.208896,0.3338,167.2532,0.0051,0.5227,26,True
