expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,1,w13_gemm,0.03584,0.03748,0.034816,0.045056,0.1755,175.7429,0.0025,0.2929,48,True
routed,1,silu_and_mul,0.02048,0.021217,0.019456,0.0256,0.0002,0.225,0.0,0.0004,48,True
routed,1,w2_gemm,0.033792,0.036372,0.032768,0.063488,0.0931,93.2576,0.0013,0.1554,48,True
routed,1,full_chain,0.067584,0.072499,0.065536,0.09728,0.1397,139.8939,0.002,0.2332,48,True
routed,2,w13_gemm,0.039936,0.041268,0.037888,0.057344,0.3151,157.8974,0.0045,0.2632,48,True
routed,2,silu_and_mul,0.019456,0.019743,0.018432,0.021504,0.0004,0.4737,0.0,0.0008,48,True
routed,2,w2_gemm,0.03328,0.03412,0.031744,0.039936,0.189,94.8615,0.0027,0.1581,48,True
routed,2,full_chain,0.070656,0.073235,0.068608,0.095232,0.2672,134.058,0.0038,0.2234,48,True
routed,4,w13_gemm,0.04096,0.042044,0.039936,0.0512,0.6144,154.3,0.0088,0.2572,48,True
routed,4,silu_and_mul,0.021504,0.02175,0.019456,0.024576,0.0007,0.8571,0.0,0.0014,48,True
routed,4,w2_gemm,0.034816,0.036556,0.033792,0.044032,0.3614,91.0,0.0052,0.1517,48,True
routed,4,full_chain,0.075776,0.080751,0.072704,0.119808,0.4984,125.4595,0.0071,0.2091,48,True
routed,8,w13_gemm,0.04096,0.042946,0.039936,0.0512,1.2288,155.0,0.0176,0.2583,48,True
routed,8,silu_and_mul,0.02048,0.021075,0.019456,0.023552,0.0015,1.8,0.0,0.003,48,True
routed,8,w2_gemm,0.033792,0.034734,0.032768,0.038912,0.7447,94.4242,0.0106,0.1574,48,True
routed,8,full_chain,0.074752,0.078335,0.072672,0.108544,1.0104,128.1096,0.0144,0.2135,48,True
routed,16,w13_gemm,0.041456,0.043846,0.039936,0.06656,2.4282,154.5288,0.0347,0.2575,48,True
routed,16,silu_and_mul,0.02048,0.021362,0.019456,0.028672,0.003,3.6,0.0,0.006,48,True
routed,16,w2_gemm,0.033792,0.03492,0.032768,0.038912,1.4895,95.7576,0.0213,0.1596,48,True
routed,16,full_chain,0.074752,0.077066,0.072704,0.09728,2.0208,129.9726,0.0289,0.2166,48,True
routed,32,w13_gemm,0.04096,0.042475,0.039936,0.048128,4.9152,159.2,0.0702,0.2653,48,True
routed,32,silu_and_mul,0.02048,0.022244,0.018464,0.030816,0.006,7.2,0.0001,0.012,48,True
routed,32,w2_gemm,0.033792,0.035434,0.032768,0.045056,2.9789,98.4242,0.0426,0.164,48,True
routed,32,full_chain,0.074752,0.07766,0.072704,0.101376,4.0415,133.6986,0.0577,0.2228,48,True
routed,64,w13_gemm,0.043984,0.0454,0.041984,0.059392,9.1545,153.4696,0.1308,0.2558,48,True
routed,64,silu_and_mul,0.02048,0.021561,0.019456,0.024576,0.012,14.4,0.0002,0.024,48,True
routed,64,w2_gemm,0.033792,0.036285,0.032768,0.043008,5.9578,103.7576,0.0851,0.1729,48,True
routed,64,full_chain,0.073728,0.077884,0.070656,0.113664,8.1953,143.1111,0.1171,0.2385,48,True
routed,128,w13_gemm,0.042528,0.043521,0.04096,0.0512,18.9359,169.5109,0.2705,0.2825,48,True
routed,128,silu_and_mul,0.021504,0.021874,0.019488,0.0256,0.0229,27.4286,0.0003,0.0457,48,True
routed,128,w2_gemm,0.034816,0.036026,0.032768,0.047168,11.5652,111.0588,0.1652,0.1851,48,True
routed,128,full_chain,0.067584,0.070654,0.065536,0.09728,17.8807,172.6061,0.2554,0.2877,48,True
routed,256,w13_gemm,0.04608,0.047186,0.04608,0.050176,34.9525,176.3556,0.4993,0.2939,48,True
routed,256,silu_and_mul,0.021472,0.022033,0.02048,0.029696,0.0458,54.9389,0.0007,0.0916,48,True
routed,256,w2_gemm,0.038912,0.03975,0.037888,0.044032,20.6956,117.8947,0.2957,0.1965,48,True
routed,256,full_chain,0.077824,0.081368,0.075776,0.094208,31.056,178.5263,0.4437,0.2975,48,True
routed,512,w13_gemm,0.068608,0.069019,0.067584,0.069632,46.9512,145.194,0.6707,0.242,48,True
routed,512,silu_and_mul,0.02048,0.021744,0.01952,0.0256,0.096,115.2,0.0014,0.192,48,True
routed,512,w2_gemm,0.045056,0.047269,0.044032,0.062464,35.7469,133.8182,0.5107,0.223,48,True
routed,512,full_chain,0.113664,0.113972,0.111616,0.114688,42.5271,161.4414,0.6075,0.2691,48,True
routed,1024,w13_gemm,0.130048,0.130643,0.129024,0.131072,49.539,104.8189,0.7077,0.1747,48,True
routed,1024,silu_and_mul,0.022528,0.022464,0.02048,0.024544,0.1745,209.4545,0.0025,0.3491,48,True
routed,1024,w2_gemm,0.074752,0.075407,0.073728,0.075776,43.0922,119.2329,0.6156,0.1987,48,True
routed,1024,full_chain,0.210944,0.211109,0.208896,0.211968,45.8302,129.2427,0.6547,0.2154,48,True
routed,2048,w13_gemm,0.325632,0.326554,0.324608,0.32768,39.5689,64.4025,0.5653,0.1073,48,True
routed,2048,silu_and_mul,0.028672,0.02902,0.026624,0.031744,0.2743,329.1429,0.0039,0.5486,48,True
routed,2048,w2_gemm,0.135168,0.135968,0.134144,0.136192,47.6625,108.6061,0.6809,0.181,48,True
routed,2048,full_chain,0.47616,0.47698,0.475136,0.478208,40.6066,94.6925,0.5801,0.1578,48,True
routed,4096,w13_gemm,0.488448,0.489023,0.4864,0.489472,52.7585,72.9895,0.7537,0.1216,48,True
routed,4096,silu_and_mul,0.043008,0.043274,0.041984,0.047104,0.3657,438.8571,0.0052,0.7314,48,True
routed,4096,w2_gemm,0.268352,0.26946,0.267264,0.27136,48.0149,97.6866,0.6859,0.1628,48,True
routed,4096,full_chain,0.794624,0.795014,0.792576,0.795648,48.6651,101.6083,0.6952,0.1693,48,True
routed,8192,w13_gemm,0.87296,0.873452,0.86528,0.878592,59.0401,74.4727,0.8434,0.1241,48,True
routed,8192,silu_and_mul,0.08192,0.081778,0.080896,0.082944,0.384,460.8,0.0055,0.768,48,True
routed,8192,w2_gemm,0.413696,0.41386,0.412672,0.413696,62.2916,119.1287,0.8899,0.1985,48,True
routed,8192,full_chain,1.360896,1.362641,1.354752,1.370112,56.8308,111.7231,0.8119,0.1862,48,True
routed,16384,w13_gemm,1.611792,1.612701,1.608704,1.615872,63.9532,76.7667,0.9136,0.1279,48,True
routed,16384,silu_and_mul,0.15872,0.159273,0.157696,0.160768,0.3964,475.6645,0.0057,0.7928,48,True
routed,16384,w2_gemm,0.84736,0.847997,0.841728,0.854016,60.8237,112.6091,0.8689,0.1877,48,True
routed,16384,full_chain,2.613248,2.615973,2.60608,2.6368,59.1914,112.7523,0.8456,0.1879,48,True
routed,32768,w13_gemm,3.193856,3.194573,3.190784,3.198976,64.5484,75.5114,0.9221,0.1259,45,True
routed,32768,silu_and_mul,0.314368,0.314246,0.310272,0.31744,0.4003,480.3127,0.0057,0.8005,45,True
routed,32768,w2_gemm,1.656352,1.658579,1.64864,1.675264,62.2327,113.3184,0.889,0.1889,45,True
routed,32768,full_chain,5.151744,5.1533,5.141504,5.170176,60.0502,112.5566,0.8579,0.1876,45,True
routed,65536,w13_gemm,6.21568,6.21652,6.21056,6.226944,66.335,76.5891,0.9476,0.1276,22,True
routed,65536,silu_and_mul,0.623616,0.624436,0.620544,0.627712,0.4035,484.2562,0.0058,0.8071,22,True
routed,65536,w2_gemm,3.279872,3.280733,3.26144,3.299328,62.8556,113.4936,0.8979,0.1892,22,True
routed,65536,full_chain,10.118656,10.11839,10.090496,10.134528,61.1471,113.6799,0.8735,0.1895,22,True
routed,131072,w13_gemm,12.285952,12.28532,12.258304,12.306432,67.1201,76.9835,0.9589,0.1283,11,True
routed,131072,silu_and_mul,1.243136,1.243835,1.236992,1.252352,0.4049,485.8517,0.0058,0.8098,11,True
routed,131072,w2_gemm,6.5024,6.501336,6.454272,6.52288,63.41,114.0107,0.9059,0.19,11,True
routed,131072,full_chain,20.028928,20.026513,19.976192,20.052992,61.7833,114.3915,0.8826,0.1907,11,True
routed,262144,w13_gemm,24.503312,24.507249,24.486912,24.537088,67.3079,76.9422,0.9615,0.1282,5,True
routed,262144,silu_and_mul,2.484224,2.483589,2.471936,2.490368,0.4052,486.2523,0.0058,0.8104,5,True
routed,262144,w2_gemm,12.978224,12.977994,12.901376,13.000704,63.5398,114.0018,0.9077,0.19,5,True
routed,262144,full_chain,39.962624,39.95945,39.868416,39.991295,61.9306,114.4279,0.8847,0.1907,5,True
routed,524288,w13_gemm,48.987137,48.986769,48.959488,48.996353,67.3347,76.8444,0.9619,0.1281,2,True
routed,524288,silu_and_mul,4.960256,4.961057,4.942848,4.97664,0.4059,487.0553,0.0058,0.8118,2,True
routed,524288,w2_gemm,25.904639,25.893561,25.734144,25.939968,63.6669,114.1084,0.9095,0.1902,2,True
routed,524288,full_chain,79.853569,79.846626,79.705086,79.899651,61.9862,114.4125,0.8855,0.1907,2,True
routed,1048576,w13_gemm,97.824768,97.823827,97.78688,97.839104,67.4376,76.8975,0.9634,0.1282,1,False
routed,1048576,silu_and_mul,9.915392,9.914882,9.885696,9.93792,0.4061,487.3068,0.0058,0.8122,1,False
routed,1048576,w2_gemm,51.805185,51.802583,51.694592,51.864574,63.6719,114.0566,0.9096,0.1901,1,False
routed,1048576,full_chain,159.522812,159.521978,159.378433,159.591431,62.0578,114.4855,0.8865,0.1908,1,False
